slug,image_title,src,decision,target,confidence
rubblization,"Layer condition underneath HMA after coring; (a) PCC layer without rubblization (IA-139 in Winneshiek County), (b) Rubblized PCC layer (IA-3 in Delaware County)",assets/rubblization/dd91c1429db4d878cccd6b1817e3a235335a4add85adda3994bd1efd788e1393.jpg,discarded,,none
sawing-window,A typical early entry saw-cutting process,assets/sawing-window/faffe047b488e8b04c94d7ba68c9ad48cf355c4e3e845b0f8e9fe75e26273f22.jpg,relocated,Introduction to Sawing Windows,majority
second-generation-curvature-index,Schematic of curling in PCC pavements,assets/second-generation-curvature-index/55618cdec9f781ed4bb3adb12c501cb7d7303c095cc9ea9992990737fb9f81fb.jpg,relocated,Algorithm Implementation Steps,majority
semi-adiabatic-calorimeter,Semi-adiabatic calorimeter–IQ drum (www.quadreliservice.com),assets/semi-adiabatic-calorimeter/b549d5c89af8e90ed5b34227dd1379136d8c9bac1c7a461e1775e43fd95ad531.jpg,relocated,Field Validation and Deployment,majority
semi-adiabatic-calorimeter,Temperature for samples in different dewar,assets/semi-adiabatic-calorimeter/eb69a7600bf2c51b9d10f8d26b9f654b7fec979d4de0fdf7ca2a795415cc0d3d.jpg,relocated,Calorimeter Types and Instrumentation,majority
semi-flowable-self-consolidating-concrete,Concrete slab from a mini-paver test (b) Cross section of the above concrete slab Figure 2-3. Mini-paver test results of SFSCC,assets/semi-flowable-self-consolidating-concrete/1702967612d57277f32c0b689aed0417ab647da0f0aaae1b9455963b36731d6e.jpg,discarded,,single-judge
shrinkage-and-early-age-cracking,"Onset and rate of plastic shrinkage cracking for Specimens 0-0, 7.5K-0, and 15K-0",assets/shrinkage-and-early-age-cracking/b8462fe3a184e9d4a1fc8146128d411e663214108c0bd9df5e34b43942fd3450.jpg,relocated,Mechanisms And Causes,unanimous
slab-design-and-geometry,Joint activation vs. L/ℓ and joint spacing for Mitchell County concrete overlay test sections,assets/slab-design-and-geometry/c6e30a0b57e83d5df6e61ff39e871e2137d902e941577cf40a5b01f92adea6c2.jpg,discarded,,none
solution-calorimeter,Effect of C_3 S content (C3A ≈ constant) on heat of hydration (adapted from Lerch and Bogue 1934),assets/solution-calorimeter/e986781d9ad339f5d6ff5d22be862717544f8ec3480d8e1bdbd967dee5c605ad.jpg,discarded,,single-judge
spectral-analysis-of-surface-waves,Illustration of Spectral Analysis of Surface Waves Technique (from ref. 17),assets/spectral-analysis-of-surface-waves/a02f07b4d15f3f74474b0b5340ac19e7f314514cea16898b4ded7406709ce6df.jpg,discarded,,single-judge
stress-wave-and-sonic-methods,MIRA ultrasonic shear wave device and laptop,assets/stress-wave-and-sonic-methods/3d77677da42f7d3f2776964c247322e809ec93308d4d7bf304468d420d7e5102.jpg,relocated,Excitation And Detection Equipment,unanimous
structural-design-and-analysis,Geometry and loading characteristics of pavement sections analyzed,assets/structural-design-and-analysis/0f0dc92eafe1fbaca7296cddb3036976c359069c1e1c67494bdb8489209d8504.jpg,relocated,Related concepts,sole-subsection
supplementary-cementitious-materials,Bulk chemical composition ranges for some common supplementary cementitious materials (from reference 5),assets/supplementary-cementitious-materials/1f874009fd959f2737ce8857d54af22ebf03101f868875810880490ec93f8f38.jpg,relocated,Common Types of SCMs,majority
surface-characteristics,Relationship of pavement surface texture to various characteristic s,assets/surface-characteristics/01746210ec2ba19e4dbfea664383fbe12958549a16e3ef2b22c7b9c6b09a941f.jpg,discarded,,none
sustainability-and-emerging-technologies,Relationship between pervious concrete void ratio and permeability for all mixes placed using regular compaction energy,assets/sustainability-and-emerging-technologies/105a59663128afc1fd9c1b099dc32a789a83f87ab071fa520155128c08c2be4c.jpg,relocated,Stormwater Management Systems,unanimous
ternary-mixture,Bulk chemical composition ranges for some common supplementary cementitious materials (from reference 5),assets/ternary-mixture/1f874009fd959f2737ce8857d54af22ebf03101f868875810880490ec93f8f38.jpg,relocated,Benefits of Ternary Mixtures,majority
time-coincident-measurement,Seismic Pavement Analyzer (SPA),assets/time-coincident-measurement/9322eed150567c63a19a8b115754eab784439a870cdf3e3f5d180745c644e858.jpg,discarded,,single-judge
time-temperature-factor,Effects of curing temperature on initial set time of concrete,assets/time-temperature-factor/93e85ef17d0301d29326659119552e41f9b4fa64a151149a3053ba45812d86f0.jpg,relocated,Impact of Curing Temperature on Strength,majority
transport-properties-and-permeability,Air (gas) permeability index for concrete,assets/transport-properties-and-permeability/91279f90eea48bc99078b48763776f423cd179062b733bacd80597f5cf2bcc90.jpg,relocated,Permeability Testing Methods,unanimous
two-stage-mixing,Illustration of output from the moisture sensor,assets/two-stage-mixing/622124b296c01c2358a7022961953ecb6c4b302848a93e67c0b79083e845c8aa.jpg,relocated,Mixing Optimization and Air Content,majority
ultrasonic-pulse-velocity,"Typical UPV data with initial set taken as the time when the velocity starts to rise, as marked [1]",assets/ultrasonic-pulse-velocity/ed575e5dba2ed09b2c2a81dc7c8df82226bd40d68bc763a164824b2319790b8a.jpg,discarded,,single-judge
vinsol-resin,Basic chemical nature and the distribution of AEA surfactant molecules at the water-air interface,assets/vinsol-resin/25bca359f0f1a964534384c81921361ff4239865cd1f131f2747a12e151630cf.jpg,discarded,,single-judge
